user_id,item_id,rating,user_idx,item_idx
156565178,Sid Meier's Civilization V,2.0,2616,120
70778973,Medieval II Total War,5.0,1847,194
169902951,UberStrike,2.0,4247,732
260788360,Dota 2,10.0,2400,52
200036280,Sid Meier's Civilization V,10.0,1193,120
82071844,Call of Duty Modern Warfare 3,9.0,4431,159
196403090,Counter-Strike Global Offensive,10.0,2737,54
32126281,Total War ROME II - Emperor Edition,6.0,3650,111
205329032,Counter-Strike Global Offensive,10.0,1091,54
131348564,Arma 3,10.0,2804,142
59115473,H1Z1,10.0,807,336
245078207,City of Steam Arkadia,10.0,2851,1084
84318201,"Warhammer 40,000 Dawn of War II - Chaos Rising",3.0,1296,189
31007645,Total War SHOGUN 2,3.0,4317,192
159535257,Left 4 Dead 2,7.0,2307,6
221694858,DayZ,1.0,4116,36
189441775,Team Fortress 2,10.0,2750,51
108750879,Call of Duty Modern Warfare 3 - Multiplayer,2.0,2092,134
50131557,Football Manager 2015,4.0,3092,229
12610800,PlanetSide 2,6.0,347,151
40051659,Call of Duty Modern Warfare 2 - Multiplayer,10.0,3061,46
73564778,The Walking Dead Season Two,1.0,2551,664
104109817,The Elder Scrolls V Skyrim,10.0,4594,0
71390526,The Elder Scrolls V Skyrim,2.0,854,0
212078557,Borderlands 2,2.0,4490,127
131876863,Spiral Knights,10.0,577,227
35039277,Everyday Genius SquareLogic,2.0,2046,957
203117866,RaceRoom Racing Experience ,10.0,4452,357
190708114,Darkest Hour A Hearts of Iron Game,10.0,1838,920
47728342,Counter-Strike,10.0,2250,71
203765587,Warframe,1.0,1645,250
96902425,Counter-Strike Global Offensive,3.0,2214,54
87907200,The Darkness II,3.0,404,472
27403206,Torchlight II,2.0,2102,116
7431946,Starbound,2.0,423,118
116912767,BioShock Infinite,6.0,2317,270
99713453,Project Zomboid,8.0,3524,707
162214363,Dota 2,10.0,968,52
32847394,Call of Duty Modern Warfare 2 - Multiplayer,10.0,3446,46
19062398,Dota 2,10.0,4554,52
96977722,Team Fortress 2,10.0,306,51
172666220,Garry's Mod,8.0,350,68
99244433,Spec Ops The Line,9.0,2623,492
8776918,The Elder Scrolls V Skyrim,10.0,3375,0
101690993,Deus Ex Human Revolution,2.0,558,23
87694960,Driver San Francisco,5.0,3850,1256
197406178,No More Room in Hell,5.0,989,102
26762388,Wolfenstein The New Order,1.0,4001,620
101725007,ARK Survival Evolved,4.0,926,50
99616757,Counter-Strike Global Offensive,10.0,2449,54
108114779,Garry's Mod,1.0,3254,68
84455820,Borderlands The Pre-Sequel,6.0,499,243
43240189,Football Manager 2009,10.0,2438,784
59925638,Metro Last Light,3.0,3968,462
185914106,CrimeCraft GangWars,1.0,638,567
49350285,Left 4 Dead 2,8.0,199,6
60549077,Rag Doll Kung Fu,2.0,4517,1350
92484390,DARK SOULS II,6.0,3453,222
218317467,Just Cause,2.0,3957,1266
105782521,DayZ,6.0,877,36
75232211,SimCity 4 Deluxe,2.0,1053,617
102927775,Garry's Mod,5.0,1013,68
209804171,Pro Evolution Soccer 2015,10.0,1666,338
94229851,Euro Truck Simulator 2,10.0,4729,258
91883012,SimCity 4 Deluxe,6.0,3639,617
64369759,Dota 2,4.0,66,52
107743243,Age of Wonders III,2.0,1996,592
174907851,Metro Last Light,2.0,4234,462
65315657,XCOM Enemy Unknown,2.0,3960,138
81128865,Call of Duty Black Ops,10.0,3994,135
147602462,LEGO Harry Potter Years 5-7,2.0,331,424
170068207,Phoenix Force,5.0,3222,1158
141160698,Counter-Strike Global Offensive,4.0,829,54
126522515,The Elder Scrolls V Skyrim,2.0,1742,0
70489471,Left 4 Dead 2,10.0,3881,6
4824107,Left 4 Dead 2,10.0,1552,6
140820563,Sonic & All-Stars Racing Transformed,3.0,4321,1098
99200665,Football Manager 2012,10.0,3667,228
42061089,Batman Arkham Origins,1.0,127,174
